index,site,pem_bid,pem_fraction,pem_sales_mwh,pem_withheld_mwh,fleet_committed_mwh,committed_mwh_top5
27,303_WIND_1,30.0,0.2875,81009.053307,981772.809193,33856137.0,2775796.0
27,317_WIND_1,30.0,1.0,132207.354208,2169832.845792,33856137.0,2775796.0
28,303_WIND_1,30.0,0.4062,90149.216246,1247092.804354,32778343.0,2778631.0
28,317_WIND_1,30.0,0.05,23082.82734,229765.64766,32778343.0,2778631.0
29,303_WIND_1,30.0,0.4062,94579.869674,1242662.150926,32980033.0,2778744.0
29,317_WIND_1,30.0,0.1688,64143.719171,630470.2863490001,32980033.0,2778744.0
30,303_WIND_1,30.0,0.4062,95144.054346,1242097.966254,33235470.0,2778846.0
30,317_WIND_1,30.0,0.2875,89208.927239,971169.671511,33235470.0,2778846.0
31,303_WIND_1,30.0,0.4062,93591.344631,1243650.675969,33508116.0,2777718.0
31,317_WIND_1,30.0,0.4062,110240.91966500001,1267473.314495,33508116.0,2777718.0
32,303_WIND_1,30.0,0.4062,100601.364449,1236640.65615,33700523.0,2777855.0
32,317_WIND_1,30.0,0.525,119332.422391,1535473.832609,33700523.0,2777855.0
33,303_WIND_1,30.0,0.4062,102825.90848,1234416.112119,33855906.0,2778231.0
33,317_WIND_1,30.0,0.6438,128714.38747100001,1761948.758989,33855906.0,2778231.0
34,303_WIND_1,30.0,0.4062,99023.863014,1238218.157586,34098257.0,2776739.0
34,317_WIND_1,30.0,0.7625,134283.946016,1951112.076484,34098257.0,2776739.0
35,303_WIND_1,30.0,0.4062,98171.0939,1239070.9267,34170538.0,2773873.0
35,317_WIND_1,30.0,0.8812,135705.880431,2094055.862729,34170538.0,2773873.0
36,303_WIND_1,30.0,0.4062,96830.537139,1240411.483461,34241227.0,2778467.0
36,317_WIND_1,30.0,1.0,145537.270197,2156502.929803,34241227.0,2778467.0
37,303_WIND_1,30.0,0.525,106542.858583,1459625.791416,32853253.0,2780764.0
37,317_WIND_1,30.0,0.05,23812.058933,229036.41606699998,32853253.0,2780764.0
38,303_WIND_1,30.0,0.525,110927.30029,1455241.34971,33186785.0,2782476.0
38,317_WIND_1,30.0,0.1688,64696.938545,629917.066975,33186785.0,2782476.0
39,303_WIND_1,30.0,0.525,107373.943469,1458794.706531,33450251.0,2776625.0
39,317_WIND_1,30.0,0.2875,84090.45056900001,976288.14818,33450251.0,2776625.0
40,303_WIND_1,30.0,0.525,108731.786236,1457436.8637640001,33653931.0,2774325.0
40,317_WIND_1,30.0,0.4062,104914.04679400001,1272800.1873660001,33653931.0,2774325.0
41,303_WIND_1,30.0,0.525,114284.590068,1451884.059932,33915136.0,2774836.0
41,317_WIND_1,30.0,0.525,113064.19474199999,1541742.060259,33915136.0,2774836.0
42,303_WIND_1,30.0,0.525,119673.487303,1446495.162697,34133473.0,2775429.0
42,317_WIND_1,30.0,0.6438,112395.91306,1778267.2334,34133473.0,2775429.0
43,303_WIND_1,30.0,0.525,122744.849357,1443423.800642,34295196.0,2779061.0
43,317_WIND_1,30.0,0.7625,123252.955053,1962143.067447,34295196.0,2779061.0
44,303_WIND_1,30.0,0.525,121048.526275,1445120.123725,34339453.0,2774406.0
44,317_WIND_1,30.0,0.8812,132001.044871,2097760.698289,34339453.0,2774406.0
45,303_WIND_1,30.0,0.525,129095.408558,1437073.241442,34374180.0,2775406.0
45,317_WIND_1,30.0,1.0,130824.821582,2171215.378418,34374180.0,2775406.0
46,303_WIND_1,30.0,0.6438,122862.551407,1633042.344794,32940109.0,2780104.0
46,317_WIND_1,30.0,0.05,23960.664969999998,228887.81003,32940109.0,2780104.0
47,303_WIND_1,30.0,0.6438,115409.570265,1640495.3259349999,33339461.0,2778122.0
47,317_WIND_1,30.0,0.1688,59817.226727,634796.778793,33339461.0,2778122.0
48,303_WIND_1,30.0,0.6438,120182.312323,1635722.583878,33619338.0,2777015.0
48,317_WIND_1,30.0,0.2875,79397.16639,980981.432359,33619338.0,2777015.0
49,303_WIND_1,30.0,0.6438,124083.095284,1631821.800916,33909422.0,2778536.0
49,317_WIND_1,30.0,0.4062,105047.903623,1272666.330537,33909422.0,2778536.0
50,303_WIND_1,30.0,0.6438,133394.627182,1622510.269018,34127704.0,2778485.0
50,317_WIND_1,30.0,0.525,115982.948449,1538823.3065519999,34127704.0,2778485.0
51,303_WIND_1,30.0,0.6438,141075.281891,1614829.6143089999,34180643.0,2778987.0
51,317_WIND_1,30.0,0.6438,124254.870794,1766408.275666,34180643.0,2778987.0
52,303_WIND_1,30.0,0.6438,140751.990652,1615152.905548,34441018.0,2780142.0
52,317_WIND_1,30.0,0.7625,116501.455926,1968894.566574,34441018.0,2780142.0
53,303_WIND_1,30.0,0.6438,139741.340892,1616163.555308,34510565.0,2780317.0
53,317_WIND_1,30.0,0.8812,123444.456722,2106317.286438,34510565.0,2780317.0
54,303_WIND_1,30.0,0.6438,148677.687659,1607227.208541,34539979.0,2781698.0
54,317_WIND_1,30.0,1.0,125735.235641,2176304.964359,34539979.0,2781698.0
55,303_WIND_1,30.0,0.7625,128260.19456,1782587.06794,33067518.0,2778687.0
55,317_WIND_1,30.0,0.05,23818.27698,229030.19801999998,33067518.0,2778687.0
56,303_WIND_1,30.0,0.7625,128323.779385,1782523.483115,33406052.0,2778821.0
56,317_WIND_1,30.0,0.1688,60046.646754,634567.358766,33406052.0,2778821.0
57,303_WIND_1,30.0,0.7625,130386.86187,1780460.400629,33762998.0,2777412.0
57,317_WIND_1,30.0,0.2875,86156.204113,974222.394636,33762998.0,2777412.0
58,303_WIND_1,30.0,0.7625,135565.600463,1775281.662037,33991011.0,2779765.0
58,317_WIND_1,30.0,0.4062,108655.826032,1269058.408128,33991011.0,2779765.0
59,303_WIND_1,30.0,0.7625,138901.987258,1771945.275242,34276981.0,2780238.0
59,317_WIND_1,30.0,0.525,114089.086617,1540717.168383,34276981.0,2780238.0
60,303_WIND_1,30.0,0.7625,148282.111568,1762565.150932,34387995.0,2779775.0
60,317_WIND_1,30.0,0.6438,121150.694419,1769512.4520410001,34387995.0,2779775.0
61,303_WIND_1,30.0,0.7625,156827.638188,1754019.6243119999,34531394.0,2781714.0
61,317_WIND_1,30.0,0.7625,124244.401948,1961151.6205520001,34531394.0,2781714.0
62,303_WIND_1,30.0,0.7625,158502.466482,1752344.796018,34611097.0,2780103.0
62,317_WIND_1,30.0,0.8812,121477.374549,2108284.368611,34611097.0,2780103.0
63,303_WIND_1,30.0,0.7625,157876.911,1752970.3514999999,34709594.0,2779155.0
63,317_WIND_1,30.0,1.0,114324.228099,2187715.9719,34709594.0,2779155.0
64,303_WIND_1,30.0,0.8812,138188.373428,1889695.782972,33194997.0,2782309.0
64,317_WIND_1,30.0,0.05,23608.409763,229240.065237,33194997.0,2782309.0
65,303_WIND_1,30.0,0.8812,137805.73509,1890078.4213089999,33483656.0,2779097.0
65,317_WIND_1,30.0,0.1688,59270.745829,635343.259691,33483656.0,2779097.0
66,303_WIND_1,30.0,0.8812,143932.982434,1883951.173965,33757825.0,2778578.0
66,317_WIND_1,30.0,0.2875,88547.560571,971831.038179,33757825.0,2778578.0
67,303_WIND_1,30.0,0.8812,142461.885526,1885422.270874,34119224.0,2781175.0
67,317_WIND_1,30.0,0.4062,104771.720669,1272942.513491,34119224.0,2781175.0
68,303_WIND_1,30.0,0.8812,148754.322821,1879129.833579,34305935.0,2782042.0
68,317_WIND_1,30.0,0.525,117901.046781,1536905.208219,34305935.0,2782042.0
69,303_WIND_1,30.0,0.8812,154258.597492,1873625.558908,34549814.0,2782640.0
69,317_WIND_1,30.0,0.6438,123891.702133,1766771.444328,34549814.0,2782640.0
70,303_WIND_1,30.0,0.8812,163340.783721,1864543.372679,34597522.0,2780599.0
70,317_WIND_1,30.0,0.7625,130566.325797,1954829.696704,34597522.0,2780599.0
71,303_WIND_1,30.0,0.8812,172462.712257,1855421.444142,34644616.0,2781580.0
71,317_WIND_1,30.0,0.8812,134547.867686,2095213.8754740001,34644616.0,2781580.0
72,303_WIND_1,30.0,0.8812,174313.594677,1853570.561723,34780426.0,2781490.0
72,317_WIND_1,30.0,1.0,131828.379844,2170211.820156,34780426.0,2781490.0
73,303_WIND_1,30.0,1.0,144232.252101,1945525.147898,33172110.0,2781069.0
73,317_WIND_1,30.0,0.05,25720.992169999998,227127.48283,33172110.0,2781069.0
74,303_WIND_1,30.0,1.0,140785.959591,1948971.440408,33550498.0,2778867.0
74,317_WIND_1,30.0,0.1688,60204.70938,634409.296141,33550498.0,2778867.0
75,303_WIND_1,30.0,1.0,144715.397349,1945042.002651,33864246.0,2777977.0
75,317_WIND_1,30.0,0.2875,84789.238606,975589.360144,33864246.0,2777977.0
76,303_WIND_1,30.0,1.0,147427.472689,1942329.92731,34099831.0,2780900.0
76,317_WIND_1,30.0,0.4062,108829.372883,1268884.861277,34099831.0,2780900.0
77,303_WIND_1,30.0,1.0,154816.257892,1934941.142107,34336926.0,2782380.0
77,317_WIND_1,30.0,0.525,116193.186946,1538613.068054,34336926.0,2782380.0
78,303_WIND_1,30.0,1.0,161181.163382,1928576.236617,34483083.0,2782265.0
78,317_WIND_1,30.0,0.6438,132622.819625,1758040.3268360002,34483083.0,2782265.0
79,303_WIND_1,30.0,1.0,164759.207279,1924998.192721,34677664.0,2780119.0
79,317_WIND_1,30.0,0.7625,136511.153771,1948884.868729,34677664.0,2780119.0
80,303_WIND_1,30.0,1.0,173923.531705,1915833.868295,34742684.0,2781134.0
80,317_WIND_1,30.0,0.8812,138693.915376,2091067.827783,34742684.0,2781134.0
81,303_WIND_1,30.0,1.0,184566.544449,1905190.855551,34827118.0,2779939.0
81,317_WIND_1,30.0,1.0,133812.387614,2168227.812385,34827118.0,2779939.0
