gen,unit_type,bus,pmax_mw,avail_gwh,cf
82,WIND,119,130.4999825838063,408.25179,0.35711947767126717
267,WIND,70,119.1999881287208,407.56166,0.39031298898055794
199,WIND,63,129.9999691273388,396.55456000000004,0.34822150875886554
41,WIND,70,115.999988072925,396.48530999999997,0.39018004129907685
115,WIND,30,150.0001006265589,387.10917,0.29460343250412196
113,WIND,30,150.0001006265589,387.10917,0.29460343250412196
266,WIND,70,96.99998812823829,330.80699,0.38931298602744385
52,WIND,26,132.4999846941916,302.38465,0.26051924263817416
238,PV,49,136.6666666666667,299.78274,0.25040322418977606
265,PV,70,136.6666666666667,288.98282,0.24138224189776136
31,WIND,26,124.9999837054529,285.14453,0.2604059974159019
154,PV,70,132.0,279.11508000000003,0.24138221253632214
79,WIND,119,87.49998256511147,273.75478000000004,0.3571491644452152
87,PV,91,129.3333333333333,265.95672,0.23474502188956375
21,PV,50,114.3333333333333,261.0612,0.2606545788569832
136,WIND,85,153.0000242562797,231.05070999999995,0.17238985388854577
42,PV,49,105.0,230.32055,0.2504028593172429
161,PV,74,100.0,226.51988,0.2585843378995434
132,WIND,48,147.0000420015917,220.20832000000001,0.1710063189831413
145,WIND,66,100.0000360514749,191.6342,0.21876042341674587
65,WIND,25,138.0000138498937,190.51057,0.1575926071074599
102,WIND,74,80.50009646431697,187.79792,0.266311714681783
17,PV,32,80.0,173.81141999999997,0.24801857876712327
103,WIND,74,70.0000947194203,163.07308,0.26593747446261523
131,WIND,48,100.0000409955779,148.95798000000002,0.1700432864541556
96,WIND,22,99.60002575431464,139.01706,0.15933256319035452
281,WIND,26,56.099983494724,127.21503999999999,0.2588639770553304
43,PV,17,60.0,125.28186,0.23835970319634703
46,PV,61,50.0,107.38539999999999,0.24517214611872146
273,PV,120,47.66666666666667,105.02753,0.2515267985439218
248,WIND,19,52.4000230998023,100.39331,0.2187102760270534
191,PV,58,41.33333333333334,89.51399,0.2472215808661069
99,WIND,19,42.00002267048929,80.66572000000001,0.2192478703489919
68,WIND,74,34.00008830590619,78.77985000000001,0.2645032413072183
164,PV,3,33.33333333333334,78.39376000000001,0.2684717808219178
200,PV,63,34.66666666666667,73.27364,0.2412856954689146
111,PV,70,32.0,67.66425,0.24138217037671234
254,PV,23,32.0,66.51149,0.23726987014840178
258,PV,8,28.0,58.25001000000001,0.23748373287671237
86,PV,91,25.33333333333333,52.094770000000004,0.23474571917808223
214,PV,90,25.0,51.770360000000004,0.2363943378995434
218,PV,68,23.0,47.410619999999994,0.23531179273377006
278,PV,34,21.33333333333334,47.26413,0.25291165453767117
240,PV,15,22.66666666666667,47.09251,0.23717017526188552
173,PV,13,21.33333333333334,44.865199999999994,0.24007491438356154
101,PV,26,18.66666666666667,42.62056,0.2606443248532289
198,PV,43,20.0,42.184760000000004,0.24078059360730594
36,PV,15,20.0,41.552369999999996,0.23717106164383558
188,PV,27,19.0,39.86503,0.23951592165344868
153,PV,83,18.33333333333334,38.25161,0.2381793897882938
190,PV,58,16.0,34.650580000000005,0.24722160388127856
217,PV,68,16.66666666666667,34.35555,0.23531198630136985
219,PV,68,15.66666666666667,32.29396,0.23531011366948407
152,PV,52,14.66666666666667,30.584919999999997,0.23805199252801987
255,PV,23,14.66666666666667,30.48461,0.23727124844333744
104,WIND,74,13.00007328143217,30.032,0.26371470591475166
277,PV,34,13.33333333333333,29.53966,0.25290804794520555
233,PV,91,14.33333333333333,29.474589999999996,0.23474506212169483
172,PV,13,14.0,29.44274,0.24007452707110244
29,PV,100,13.33333333333333,28.485260000000004,0.2438806506849316
221,PV,90,13.33333333333333,27.61091,0.23639477739726034
225,PV,86,12.33333333333333,25.797220000000003,0.2387747130692337
38,PV,33,12.0,25.04465,0.23824819254185695
170,PV,76,11.66666666666667,24.45081,0.2392447162426614
117,WIND,30,10.0000765408814,23.773559999999996,0.2713855940236201
260,PV,108,11.33333333333333,23.74071,0.2391288275584207
276,PV,35,10.66666666666667,23.658489999999997,0.2531944563356163
196,PV,87,10.66666666666667,23.485629999999997,0.2513444991438355
167,PV,76,10.66666666666667,22.35488,0.23924315068493143
32,PV,101,9.333333333333334,19.59062,0.23961130136986306
37,PV,33,9.333333333333334,19.479110000000002,0.23824743150684932
39,PV,33,8.0,16.69629,0.238246147260274
40,PV,33,8.0,16.69629,0.238246147260274
35,PV,91,8.0,16.45092,0.2347448630136986
34,PV,91,8.0,16.45092,0.2347448630136986
123,PV,50,6.666666666666667,15.222050000000001,0.26065154109589045
9,PV,50,5.0,11.416720000000002,0.2606557077625571
168,PV,76,5.333333333333334,11.17741,0.2392425085616438
33,PV,91,5.0,10.28204,0.23474977168949773
69,PV,91,5.0,10.28204,0.23474977168949773
160,PV,108,4.666666666666667,9.77547,0.23912597847358125
210,PV,106,4.333333333333334,8.931970000000002,0.2352995258166491
84,WIND,42,1.808070581387118e-05,0.0,0.0
169,WIND,76,1.547366779123746e-05,0.0,0.0
159,WIND,38,1.455330936732537e-05,0.0,0.0
134,WIND,18,6.178165706542476e-05,0.0,0.0
